speed,ray_front,ray_right,ray_left,ray_rightfront,ray_leftfront,throttle,brakes,steering,Q
100,64.70533933,37.92833326,25.98518052,79.39870112,26.91650125,0,6,-8,25.7426486
93,800,45.22652882,21.50434595,107.6328599,21.54963963,4,10,9,25.20682205
86,800,52.19093739,16.43970251,144.695182,15.96179675,1,3,4,25.26954625
82,800,57.36408144,12.21542866,176.8057727,11.59310869,10,0,7,24.82860741
86,800,62.95381557,6.463079407,163.9617087,6.933278129,7,7,-2,24.99360344
84,800,67.5227059,800,133.7644483,800,5,7,10,24.42219878
82,800,4.472427802,800,11.18700562,800,0,2,6,24.74869049
80,800,10.22547966,800,21.09593183,800,10,1,8,24.78778446
82,800,16.38533487,800,33.9679991,800,6,9,-2,24.56463126
78,800,20.08828179,800,46.2556941,800,7,4,9,24.78366282
78,800,25.82446366,800,65.13709555,800,9,2,-8,24.52864795
80,800,32.422241,800,86.04400532,800,2,8,7,24.77128888
73,800,37.79633042,800,111.1832669,800,10,9,5,24.48674612
73,800,43.47176722,800,135.6443332,800,9,6,-3,24.58930409
75,800,50.67557709,800,800,800,10,4,-5,24.39719343
74,800,58.01334473,800,800,800,9,2,-8,25.0412312
76,800,65.29565974,800,800,800,1,7,2,25.41839628
71,800,72.79964434,800,800,800,10,8,5,25.974767
